ID_Falta,ID_Colaborador,Data,Horas_Falta
1,42,2026-05-11
2,44,2026-08-04
3,22,2026-08-29
4,8,2026-08-13
5,12,2026-05-29
6,3,2026-01-28
7,28,2026-03-30
8,21,2026-04-22
9,33,2026-01-30
10,37,2026-02-18
11,3,2026-07-01
12,1,2026-05-14
13,44,2026-07-04
14,48,2026-06-21
15,24,2026-04-21
16,43,2026-08-24
17,40,2026-03-22
18,8,2026-07-04
19,33,2026-03-21
20,27,2026-03-25
21,45,2026-03-17
22,9,2026-02-19
23,43,2026-08-29
24,44,2026-07-11
25,40,2026-05-26
26,26,2026-05-21
27,20,2026-03-15
28,28,2026-07-21
29,39,2026-06-17
30,30,2026-04-24
31,44,2026-02-24
32,31,2026-07-23
33,11,2026-06-18
34,19,2026-05-12
35,41,2026-06-08
36,6,2026-07-29
37,44,2026-03-21
38,13,2026-02-07
39,3,2026-03-04
40,40,2026-08-06
41,30,2026-04-17
42,37,2026-02-19
43,45,2026-04-09
44,26,2026-03-04
45,42,2026-06-26
46,49,2026-08-09
47,50,2026-04-19
48,12,2026-07-25
49,34,2026-04-29
50,36,2026-03-05
51,30,2026-02-04
52,43,2026-05-16
53,39,2026-03-23
54,40,2026-07-28
55,33,2026-04-20
56,29,2026-08-18
57,48,2026-08-09
58,29,2026-03-08
59,41,2026-03-12
60,32,2026-06-10
61,18,2026-04-23
62,46,2026-03-15
63,18,2026-03-27
64,35,2026-01-21
65,10,2026-03-01
66,45,2026-02-09
67,14,2026-01-17
68,27,2026-03-26
69,30,2026-04-17
70,14,2026-08-02
71,25,2026-08-20
72,45,2026-01-06
73,25,2026-05-03
74,23,2026-03-18
75,27,2026-05-18
76,48,2026-05-20
77,15,2026-05-05
78,18,2026-04-22
79,2,2026-04-10
80,43,2026-06-23
81,47,2026-02-12
82,9,2026-06-09
83,2,2026-08-21
84,38,2026-05-25
85,2,2026-01-22
86,28,2026-02-04
87,12,2026-01-13
88,25,2026-03-25
89,30,2026-03-25
90,49,2026-08-14
91,18,2026-07-12
92,17,2026-08-02
93,31,2026-01-05
94,35,2026-01-14
95,15,2026-06-16
96,50,2026-09-03
97,3,2026-07-13
98,16,2026-02-21
99,40,2026-02-09
100,9,2026-05-02
